CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
6505847,2,1,4,M,36,3,9,V,-,3,"SAN DIEGO","SAN DIEGO",2014
6505884,1,1,4,M,43,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6506186,1,1,4,M,32,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6506186,2,1,2,-,998,0,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6508573,1,1,4,M,19,4,0,P,V,0,"SAN DIEGO","SAN DIEGO",2014
6509485,1,1,4,M,32,3,1,V,-,1,"SAN DIEGO","SAN DIEGO",2014
6509485,2,1,2,M,45,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2014
6510650,2,1,4,F,12,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2014
6510661,2,1,4,-,58,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6510677,2,1,4,F,24,4,1,P,W,1,"SAN DIEGO","SAN DIEGO",2014
6510685,1,1,4,M,60,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2014
6510689,1,1,4,M,27,3,9,M,-,3,"SAN DIEGO","SAN DIEGO",2014
6513641,1,1,4,F,25,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2014
6516090,1,1,4,F,40,3,9,P,W,1,"SAN DIEGO","SAN DIEGO",2014
6516109,1,1,4,-,29,3,1,P,V,3,"SAN DIEGO","SAN DIEGO",2014
6516121,1,1,4,M,26,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6516121,2,1,1,M,63,4,1,M,G,0,"SAN DIEGO","SAN DIEGO",2014
6516342,2,1,4,M,56,4,0,P,A,0,"SAN DIEGO","SAN DIEGO",2014
6516397,2,1,4,M,13,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2014
6517700,1,1,4,M,35,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6518612,2,1,4,M,18,3,1,P,A,1,"SAN DIEGO","SAN DIEGO",2014
6519201,2,1,4,F,31,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6519202,1,1,4,M,43,4,9,P,V,3,"SAN DIEGO","SAN DIEGO",2014
6519229,1,1,4,M,30,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2014
6519233,1,1,4,M,46,2,9,P,-,3,"SAN DIEGO","SAN DIEGO",2014
6520181,2,1,4,M,54,3,1,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6520234,2,1,4,F,62,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2014
6523571,1,1,4,F,16,4,0,P,X,3,"SAN DIEGO","SAN DIEGO",2014
6523913,2,1,4,M,76,4,1,P,W,1,"SAN DIEGO","SAN DIEGO",2014
6524082,1,1,4,M,69,4,1,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6524146,1,1,4,M,24,4,1,P,V,1,"SAN DIEGO","SAN DIEGO",2014
6524165,1,1,4,M,56,4,1,P,W,0,"SAN DIEGO","SAN DIEGO",2014
6524214,1,1,4,M,52,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2014
6524405,1,1,4,M,64,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2014
6524958,2,1,4,M,26,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2014
